"","nameFirst","nameLast","BAT_ID","RE24","PA","Runs.Start","RE24_risp","PA_risp","Runs_Start_risp","RE24_no_risp","PA_no_risp","Runs_Start_no_risp"
"1","Jose","Abreu","abrej003",20.9391034610474,693,370.116141578515,19.6873271805362,190,182.209057886028,1.25177628051114,503,187.907083692487
"2","Ronald","Acuna","acunr001",38.5706404142615,715,360.883282153956,19.4096237906685,156,124.081795803255,19.1610166235931,559,236.8014863507
"3","Cristhian","Adames","adamc001",-0.0107521362610338,24,11.6919004171523,0.938120129406136,8,4.77831750620576,-0.94887226566717,16,6.91358291094656
"4","Matt","Adams","adamm002",-0.317090947840516,333,175.736799604651,6.3665580052093,97,79.8626437559877,-6.68364895304982,236,95.8741558486635
"5","Willy","Adames","adamw002",-13.3316442281702,584,291.057391850435,-16.4309757643306,134,115.443454893064,3.09933153616043,450,175.613936957371
"6","Jim","Adduci","adduj002",-1.12366725172272,5,1.65251352423207,-0.3332378633825,1,0.3332378633825,-0.790429388340224,4,1.31927566084957
"7","Ehire","Adrianza","adrie001",1.02903938826463,236,121.031083433517,-1.3320247384345,57,52.4894955621611,2.36106412669913,179,68.5415878713563
"8","Dario","Agrazal","agrad001",-4.17191012539022,24,14.7877313956559,-2.53803888842971,12,10.2212895549831,-1.63387123696051,12,4.56644184067282
"9","Jesus","Aguilar","aguij001",-2.25402406137977,369,193.744030495096,4.54991436718752,88,76.0667644799134,-6.80393842856729,281,117.677266015182
"10","Nick","Ahmed","ahmen001",-1.15531296580702,625,338.78022488557,-8.512736993079,175,165.058470644236,7.35742402727198,450,173.721754241334
"11","Hanser","Alberto","albeh001",-0.684859124972541,550,264.503897122876,-6.23841910843189,112,87.0266588573935,5.55355998345935,438,177.477238265483
"12","Ozzie","Albies","albio001",23.4368496367725,702,338.028397090396,13.2134859628028,157,124.406016809589,10.2233636739696,545,213.622380280807
"13","Sandy","Alcantara","alcas001",-7.62140030979762,63,27.0011147913419,-0.221323416910993,13,10.5743143078709,-7.40007689288663,50,16.426800483471
"14","Jorge","Alfaro","alfaj002",-9.94829351050762,465,247.74776588862,-9.6639803413359,118,108.353985143192,-0.284313169171717,347,139.393780745428
"15","Anthony","Alford","alfoa002",-3.29806472702945,30,15.6684592242445,-2.96325947591091,9,7.53777818078796,-0.334805251118544,21,8.13068104345651
"16","Austin","Allen","allea001",-7.39609534640879,71,37.5167838501291,-3.60216609898163,23,17.5304354762405,-3.79392924742715,48,19.9863483738886
"17","Greg","Allen","alleg002",-6.23392210169966,256,135.761218154424,0.441350903289575,69,58.294600870548,-6.67527300498924,187,77.4666172838763
"18","Logan","Allen","allel002",-0.123861913228946,5,2.37259003200831,0.272932236741516,1,0.723347850785836,-0.396794149970462,4,1.64924218122248
"19","Abraham","Almonte","almoa001",0.554757070177682,38,23.7767966073559,-0.589687042412142,13,12.4988592282153,1.14444411258982,25,11.2779373791406
"20","Albert","Almora","almoa002",-25.3537649630709,363,195.238787513021,-19.4139646599536,96,93.4262825086251,-5.93980030311723,267,101.812505004396
"21","Pete","Alonso","alonp001",38.894349295459,693,355.089707701362,11.8972806947914,158,139.640125422077,26.9970686006677,535,215.449582279285
"22","Yonder","Alonso","alony001",-11.8488658104598,335,169.667879373686,-5.92690152995295,95,77.5241142423583,-5.92196428050688,240,92.143765131328
"23","Aaron","Altherr","altha001",-9.55171915395485,66,32.5213992008956,-4.27026129716851,16,13.008106140659,-5.28145785678634,50,19.5132930602366
"24","Jose","Altuve","altuj001",12.6595318772948,548,290.296825252111,2.54566080230837,114,101.3238747129,10.1138710749864,434,188.972950539211
"25","Yordan","Alvarez","alvay001",34.6014196759662,369,208.90007232739,14.522308692288,110,104.134657797505,20.0791109836782,259,104.765414529885
"26","Adbert","Alzolay","alzoa001",-1.8286627815357,5,2.34365145246704,-1.22894813429028,2,1.22894813429028,-0.599714647245424,3,1.11470331817677
"27","Brett","Anderson","andeb004",0.632916402849066,8,3.44408244044018,0.704568686163786,3,2.34892931437778,-0.0716522833147199,5,1.0951531260624
"28","Brian","Anderson","andeb006",11.1241527199738,520,256.47903702068,5.51004897615752,113,99.0874243541684,5.61410374381631,407,157.391612666512
"29","Chase","Anderson","andec001",-6.99423834610957,44,22.0923088495882,-4.05944277487026,10,8.08145751158171,-2.93479557123931,34,14.0108513380064
"30","Shaun","Anderson","andes002",-4.83970213773816,28,12.8089062850945,-1.15778057327904,5,4.05564281476389,-3.68192156445912,23,8.7532634703306
"31","Tim","Anderson","andet001",10.8282792244753,518,271.489715509582,-3.71851003808036,112,99.7174781437354,14.5467892625556,406,171.772237365846
"32","Tyler","Anderson","andet002",-2.26699641554131,8,6.15203939502788,-1.15846822991799,2,3.0407245319718,-1.10852818562332,6,3.11131486305608
"33","Elvis","Andrus","andre001",-9.52641208198894,648,336.210034662849,-3.45352340756606,167,153.835305328454,-6.07288867442288,481,182.374729334395
"34","Matt","Andriese","andrm001",-1.90880632913529,6,2.74460740160403,-1.50627087988685,3,2.22961873067269,-0.402535449248438,3,0.514988670931345
"35","Miguel","Andujar","andum001",-11.7777637904818,49,29.7151924868804,-7.40842138516943,14,14.6784514063856,-4.36934240531235,35,15.0367410804948
"36","Aristides","Aquino","aquia001",6.39948334231129,225,114.240543559802,7.9201047924756,64,55.1940081768579,-1.52062145016431,161,59.0465353829445
"37","Chris","Archer","archc001",-6.89859345560678,41,21.5432469343466,-3.787476089752,14,10.4308781884724,-3.11111736585478,27,11.1123687458743
"38","Orlando","Arcia","arcio002",-20.1486739594675,546,295.420835208167,-7.28770653939335,146,136.300414445294,-12.8609674200741,400,159.120420762873
"39","Nolan","Arenado","arenn001",50.2123996379183,662,328.12858891749,18.8463352423089,177,153.556081754121,31.3660643956094,485,174.572507163369
"40","Randy","Arozarena","arozr001",0.463515658457809,23,15.8658964159943,0.206282134356056,6,7.92724433766682,0.257233524101753,17,7.93865207832748
"41","Luis","Arraez","arral001",11.5747799274756,366,166.833024640256,1.55123613160948,63,52.8177598121803,10.0235437958661,303,114.015264828076
"42","Jake","Arrieta","arrij001",-6.86659832595798,50,28.0185526243596,-1.92746543185302,15,15.4933174468349,-4.93913289410495,35,12.5252351775247
"43","Christian","Arroyo","arroc001",-0.999435748858859,57,27.9764498131248,-0.797921924351937,17,11.8999284310464,-0.201513824506922,40,16.0765213820784
"44","Humberto","Arteaga","arteh001",-10.3193945644963,135,63.0379199877865,-3.91467216459711,29,22.5551589053672,-6.4047223998992,106,40.4827610824194
"45","Willians","Astudillo","astuw001",-5.1617373415081,204,103.397180271002,-4.34886212844687,50,42.7647573159393,-0.812875213061228,154,60.6324229550626
"46","Tyler","Austin","austt001",1.17776755904801,179,87.4231580000506,4.94857416770587,43,37.4692230289574,-3.77080660865786,136,49.9539349710932
"47","Abiatal","Avelino","avela001",-0.2805533852861,8,3.30061173399129,0.377823880515237,2,1.18200647392281,-0.658377265801337,6,2.11860526006847
"48","Alex","Avila","avila001",1.90661847879867,201,106.030834175149,-0.249981636187221,50,48.8758532166432,2.15660011498589,151,57.1549809585062
"49","Pedro","Avila","avilp001",-0.278758778187255,2,1.27937606213787,-0.166305556504347,1,1.16692284045496,-0.112453221682908,1,0.112453221682908
"50","Harrison","Bader","badeh001",-3.53297701413888,406,213.143932531471,2.93126178428666,106,93.3074399926677,-6.46423879842554,300,119.836492538803
"51","Javier","Baez","baezj001",9.75741331309264,561,292.94829735642,14.7555880926533,125,111.647576104648,-4.99817477956068,436,181.300721251772
"52","Homer","Bailey","bailh001",0.394057791729948,5,1.96436696208997,0.857775738644311,1,0.38098830629951,-0.463717946914363,4,1.58337865579046
"53","Austin","Barnes","barna001",-11.1668300559342,242,126.143383088025,-7.00076441517112,62,53.2197501458128,-4.16606564076309,180,72.9236329422123
"54","Tucker","Barnhart","barnt001",-1.79359127791591,364,183.889114964077,0.757901343442614,90,75.8547143539747,-2.55149262135853,274,108.034400610102
"55","Steven","Baron","baros002",-0.989204311712169,10,4.34395723365411,0.348212290002245,2,0.985025573380255,-1.33741660171441,8,3.35893166027385
"56","Franklin","Barreto","barrf001",-7.25243908269255,58,30.7199710158046,-2.6046686063315,17,14.4063614541273,-4.64777047636104,41,16.3136095616773
"57","Jake","Bauers","bauej001",-6.49630217493263,423,208.763440508948,-7.055670699704,107,89.3366097016767,0.559368524771376,316,119.426830807272
"58","Trevor","Bauer","bauet001",-3.29825056697607,22,9.21349841876852,-0.921125870634195,3,2.15189510140343,-2.37712469634187,19,7.06160331736509
"59","Matt","Beaty","beatm001",8.45087492063501,268,143.499638492991,15.5384414422818,74,65.8362656121203,-7.08756652164677,194,77.6633728808704
"60","Gordon","Beckham","beckg001",-20.1177061069372,240,116.721980319364,-12.3313812648575,58,47.1413081563793,-7.78632484207969,182,69.5806721629849
"61","Tim","Beckham","beckt001",6.54350169503399,328,164.074580681997,4.66863116352804,70,64.5113225207512,1.87487053150595,258,99.5632581612461
"62","Tyler","Beede","beedt001",-7.615859918576,43,20.6521715899824,-3.23031502609921,10,6.27592156223321,-4.38554489247678,33,14.3762500277491
"63","Cody","Bellinger","bellc002",59.329922731663,661,338.362490437411,18.4346050213961,160,136.992794006081,40.8953177102669,501,201.36969643133
"64","Josh","Bell","bellj005",37.6096568153969,613,339.827359043731,24.1223050925415,198,175.428515889946,13.4873517228554,415,164.398843153785
"65","Brandon","Belt","beltb001",-0.564169772140678,616,314.70181011577,-5.05441759222894,142,118.469309363597,4.49024782008826,474,196.232500752173
"66","Anthony","Bemboom","bemba001",-8.60744193227586,56,28.7140783138008,-4.80894433559031,12,9.20623603068399,-3.79849759668555,44,19.5078422831168
"67","Andrew","Benintendi","benia002",7.08078937436619,615,311.524654928472,9.60479123431553,145,115.265207981916,-2.52400185994935,470,196.259446946556
"68","Jose","Berrios","berrj001",-0.564880963625985,5,2.34276119769293,-0.443574989669129,1,1.16692284045496,-0.121305973956856,4,1.17583835723797
"69","Jon","Berti","bertj001",2.67208651096579,287,143.255720848104,-2.78339107478261,61,52.2705302163155,5.4554775857484,226,90.9851906317883
"70","Chad","Bettis","bettc001",-1.92187834505096,10,4.78262735670935,-1.3144500950949,2,1.3144500950949,-0.607428249956054,8,3.46817726161444
"71","Mookie","Betts","bettm001",41.7154012554653,706,348.83292200171,13.0100684641544,139,105.229559929795,28.7053327913109,567,243.603362071915
"72","Bo","Bichette","bichb001",3.01795482294127,212,101.254517488509,-7.55280180948098,36,32.6330538096097,10.5707566324223,176,68.6214636788996
"73","Shane","Bieber","biebs001",-2.04782000153544,5,2.91806668423203,-1.3144500950949,2,1.3144500950949,-0.73336990644054,3,1.60361658913713
"74","Cavan","Biggio","biggc002",16.6620165839442,430,211.175707150664,6.36749391420759,94,75.5429333077455,10.2945226697367,336,135.632773842919
"75","Greg","Bird","birdg001",-1.36268121958359,41,17.6965796157279,-1.96366471489637,6,4.9151775499755,0.60098349531278,35,12.7814020657524
"76","Braden","Bishop","bishb001",-7.49503216730839,60,28.8258559897852,-0.846494060370603,17,14.5332928271122,-6.64853810693779,43,14.2925631626729
"77","Charlie","Blackmon","blacc001",34.7492060864484,634,311.042003677906,17.5852409309425,124,92.6906488645395,17.1639651555059,510,218.351354813367
"78","Alex","Blandino","blana002",0.0660901429877364,51,25.7758778714091,-1.88285661838869,9,8.93444749671141,1.94894676137643,42,16.8414303746977
"79","Xander","Bogaerts","bogax001",44.2083908992658,698,368.3674305892,19.0308387393876,191,167.401621413209,25.1775521598782,507,200.965809175991
"80","Ronald","Bolanos","bolar001",1.25020346292576,5,3.27821528635695,2.09437474565136,1,1.62897310513447,-0.844171282725604,4,1.64924218122248
"81","Skye","Bolt","bolts001",-1.76602063899322,11,5.15782576251261,-0.952866841033608,3,1.79251377047009,-0.813153797959616,8,3.36531199204252
"82","Jorge","Bonifacio","bonij002",2.11089630042719,21,9.62945888909599,1.58126017581287,3,2.43182405937684,0.529636124614324,18,7.19763482971915
"83","David","Bote","boted002",9.9700825426951,356,177.904599541873,8.69081959641173,88,72.1362643160762,1.27926294628337,268,105.768335225797
"84","Justin","Bour","bourj002",-3.85260191717585,170,94.3399877737882,1.38900579280814,42,43.2832627159578,-5.24160770998399,128,51.0567250578304
