"","BAT_ID","Batting_order"
"1","merrw001",1
"2","abrej003",3
"3","freef001",3
"4","semim001",1
"5","machm001",3
"6","lindf001",1
"7","choos001",1
"8","renda001",3
"9","bellj005",4
"10","garcl004",1
"11","troum001",2
"12","lemad001",1
"13","sotoj001",4
"14","ahmen001",7
"15","hoskr001",4
"16","rosae001",4
"17","polaj001",2
"18","bellc002",4
"19","phamt001",2
"20","sprig001",1
"21","ozunm001",4
"22","acunr001",1
"23","turnt001",1
"24","santc002",3
"25","vottj001",2
"26","suare001",3
"27","harpb003",3
"28","cruzn002",3
"29","blacc001",1
"30","cainl001",1
"31","keplm001",1
"32","donaj001",4
"33","villj001",1
"34","bettm001",1
"35","altuj001",2
"36","andre001",3
"37","eatoa002",2
"38","smitm007",1
"39","martj006",4
"40","yelic001",2
"41","merco003",2
"42","escoe001",3
"43","stort001",2
"44","judga001",2
"45","arenn001",3
"46","pedej001",1
"47","mcnej002",1
"48","markn001",5
"49","puigy001",4
"50","arcio002",8
"51","reynb001",2
"52","cabrm001",3
"53","manct001",2
"54","castn001",2
"55","marts002",3
"56","nuner001",4
"57","ohtas001",3
"58","chapm001",2
"59","fletd002",1
"60","turnj001",3
"61","dysoj001",1
"62","goldp001",3
"63","rizza001",3
"64","sogae001",1
"65","ramij003",5
"66","seguj002",2
"67","bryak001",2
"68","fraza001",1
"69","bogax001",3
"70","crawj002",2
"71","realj001",5
"72","baezj001",4
"73","newmk001",1
"74","hosme001",4
"75","martk001",2
"76","brega001",3
"77","mondr003",2
"78","dever001",2
"79","olsom001",3
"80","woltt001",8
"81","branm003",3
"82","swand001",2
"83","alonp001",2
"84","carpm002",1
"85","davik003",4
"86","maldm001",8
"87","andeb006",3
"88","mazan001",4
"89","hamib001",9
"90","moliy001",6
"91","phegj001",9
"92","moncy001",2
"93","sancc001",8
"94","albio001",2
"95","santd001",2
"96","andet001",2
"97","jimee001",5
"98","gorda001",3
"99","kellc002",8
"100","tatif002",1
"101","dejop001",3
"102","solej001",4
"103","senzn001",1
"104","casts001",4
"105","ramow001",5
"106","franm004",8
"107","badeh001",8
"108","mccua001",1
"109","braur002",3
"110","buxtb001",9
"111","reyev001",1
"112","muncm001",2
"113","walkc002",5
"114","confm001",4
"115","martr006",9
"116","cronc002",5
"117","hedga001",8
"118","schwk001",1
"119","dozih001",4
"120","santd002",3
"121","voged001",4
"122","bradj001",8
"123","canor001",3
"124","meada001",1
"125","gurrl001",3
"126","mccaj001",4
"127","renfh001",5
"128","rojam002",1
"129","odorr001",6
"130","fowld001",1
"131","benia002",1
"132","contw001",5
"133","gonzm002",6
"134","pillk001",6
"135","marij002",9
"136","sancg002",4
"137","albeh001",1
